#@aws-crypto/crc32,5.2.0
@aws-crypto/sha256-browser,5.2.0
@aws-crypto/sha256-js,5.2.0
@aws-crypto/supports-web-crypto,5.2.0
@aws-crypto/util,5.2.0
@aws-sdk/client-bedrock-agent,3.839.0
@aws-sdk/client-bedrock-agent-runtime,3.839.0
@aws-sdk/client-bedrock-runtime,3.835.0
@aws-sdk/client-cognito-identity,3.835.0
@aws-sdk/core,3.835.0
@aws-sdk/core,3.839.0
@aws-sdk/credential-provider-cognito-identity,3.835.0
@aws-sdk/middleware-eventstream,3.821.0
@aws-sdk/middleware-host-header,3.821.0
@aws-sdk/middleware-logger,3.821.0
@aws-sdk/middleware-recursion-detection,3.821.0
@aws-sdk/middleware-user-agent,3.835.0
@aws-sdk/middleware-user-agent,3.839.0
@aws-sdk/region-config-resolver,3.821.0
@aws-sdk/util-endpoints,3.828.0
@aws-sdk/util-locate-window,3.804.0
@aws-sdk/util-user-agent-browser,3.821.0
@babel/runtime,7.27.1
@e965/xlsx,0.20.3
@emoji-mart/data,1.1.2
@emoji-mart/react,1.1.1
@modelcontextprotocol/sdk,1.13.2
@popperjs/core,2.11.8
@protobufjs/aspromise,1.1.2
@protobufjs/base64,1.1.2
@protobufjs/eventemitter,1.1.0
@protobufjs/float,1.0.2
@protobufjs/inquire,1.1.0
@protobufjs/pool,1.1.0
@protobufjs/utf8,1.1.0
@reduxjs/toolkit,2.5.0
@remix-run/router,1.16.1
@smithy/config-resolver,4.1.4
@smithy/core,3.6.0
@smithy/eventstream-codec,4.0.4
@smithy/eventstream-serde-browser,4.0.4
@smithy/eventstream-serde-config-resolver,4.1.2
@smithy/eventstream-serde-universal,4.0.4
@smithy/fetch-http-handler,5.0.4
@smithy/invalid-dependency,4.0.4
@smithy/is-array-buffer,4.0.0
@smithy/middleware-content-length,4.0.4
@smithy/middleware-endpoint,4.1.13
@smithy/middleware-retry,4.1.14
@smithy/middleware-serde,4.0.8
@smithy/middleware-stack,4.0.4
@smithy/property-provider,4.0.4
@smithy/protocol-http,5.1.2
@smithy/querystring-builder,4.0.4
@smithy/querystring-parser,4.0.4
@smithy/service-error-classification,4.0.6
@smithy/signature-v4,5.1.2
@smithy/smithy-client,4.4.5
@smithy/types,4.3.1
@smithy/url-parser,4.0.4
@smithy/util-base64,4.0.0
@smithy/util-body-length-browser,4.0.0
@smithy/util-config-provider,4.0.0
@smithy/util-defaults-mode-browser,4.0.21
@smithy/util-endpoints,3.0.6
@smithy/util-hex-encoding,4.0.0
@smithy/util-middleware,4.0.4
@smithy/util-retry,4.0.6
@smithy/util-stream,4.2.2
@smithy/util-uri-escape,4.0.0
@smithy/util-utf8,2.3.0
@smithy/util-utf8,4.0.0
@tiptap/core,2.5.4
@tiptap/extension-blockquote,2.5.4
@tiptap/extension-bold,2.5.4
@tiptap/extension-bullet-list,2.5.4
@tiptap/extension-code,2.5.4
@tiptap/extension-code-block,2.5.4
@tiptap/extension-document,2.5.4
@tiptap/extension-dropcursor,2.5.4
@tiptap/extension-gapcursor,2.5.4
@tiptap/extension-hard-break,2.5.4
@tiptap/extension-heading,2.5.4
@tiptap/extension-highlight,2.5.4
@tiptap/extension-history,2.5.4
@tiptap/extension-italic,2.5.4
@tiptap/extension-link,2.5.4
@tiptap/extension-list-item,2.5.4
@tiptap/extension-mention,2.5.4
@tiptap/extension-ordered-list,2.5.4
@tiptap/extension-paragraph,2.5.4
@tiptap/extension-placeholder,2.5.4
@tiptap/extension-strike,2.5.4
@tiptap/extension-text,2.5.4
@tiptap/react,2.4.0
@tiptap/suggestion,2.5.4
@zxing/browser,0.1.4
@zxing/library,0.20.0
ajv,6.12.6
ansi-styles,5.2.0
automation-events,6.0.9
bowser,2.11.0
broker-factory,3.0.85
clsx,2.1.1
comma-separated-tokens,2.0.3
compilerr,11.0.9
dashify,2.0.0
date-fns,2.30.0
docx-preview,0.3.5
dom-helpers,5.2.1
dompurify,3.2.5
emoji-mart,5.5.2
emoji-regex,10.3.0
entities,4.5.0
extendable-media-recorder,9.1.0
extendable-media-recorder-wav-encoder,7.0.96
extendable-media-recorder-wav-encoder-broker,7.0.88
fast-deep-equal,3.1.3
fast-json-stable-stringify,2.1.0
fast-memoize,2.5.2
fast-unique-numbers,8.0.8
fault,2.0.1
format,0.2.2
fuse.js,6.6.2
hast-to-hyperscript,10.0.3
highlight.js,11.8.0
hotkeys-js,3.13.7
html-parse-stringify,3.0.1
i18next,23.2.8
immer,10.1.1
indefinite-article,0.0.2
inline-style-parser,0.1.1
is-emoji-supported,0.0.5
json-schema-traverse,0.4.1
jszip,3.10.1
just-compose,2.3.0
leaflet,1.9.4
linkify-it,5.0.0
linkifyjs,4.1.1
lodash,4.17.21
lowlight,2.9.0
markdown-it,14.1.0
markdown-it-task-lists,2.1.1
mdurl,2.0.0
media-encoder-host,8.0.99
media-encoder-host-broker,7.0.89
multi-buffer-data-view,5.0.9
orderedmap,2.1.1
overlayscrollbars,2.10.0
overlayscrollbars-react,0.5.6
pdfjs-dist,4.10.38
platform,1.3.6
pretty-bytes,6.1.1
pretty-format,29.7.0
property-information,6.2.0
prosemirror-commands,1.5.2
prosemirror-dropcursor,1.8.1
prosemirror-gapcursor,1.3.2
prosemirror-history,1.4.1
prosemirror-keymap,1.2.2
prosemirror-markdown,1.13.0
prosemirror-model,1.22.2
prosemirror-schema-list,1.4.1
prosemirror-state,1.4.3
prosemirror-transform,1.9.0
prosemirror-view,1.33.9
protobufjs,8.0.1
punycode.js,2.3.1
react,18.3.1
react-dom,18.3.1
react-fast-compare,3.2.2
react-i18next,14.1.2
react-intersection-observer,9.10.3
react-is,18.2.0
react-paginate,8.2.0
react-popper,2.3.0
react-popper-tooltip,4.4.2
react-redux,9.2.0
react-router,6.23.1
react-router-dom,6.23.1
react-transition-group,4.4.5
recorder-audio-worklet,6.0.13
rect-clamp,0.0.0
redux,5.0.1
redux-thunk,3.1.0
reselect,5.1.1
rope-sequence,1.3.4
rxjs-interop,2.0.0
scheduler,0.23.2
space-separated-tokens,2.0.2
standardized-audio-context,25.3.56
style-to-object,0.4.2
subscribable-things,2.1.24
tiptap-markdown,0.8.10
ts-custom-error,3.3.1
tslib,2.8.1
twemoji,14.0.2
uc.micro,2.1.0
uri-js,4.4.1
use-sync-external-store,1.4.0
uuid,9.0.1
void-elements,3.1.0
w3c-keyname,2.2.8
web-namespaces,2.0.1
worker-factory,7.0.11
zod,3.25.67
zod-to-json-schema,3.24.5
